hunt_code,open_date,close_date,bag_limit_description,notes
"202, 205",2026-12-16,2027-01-01,,"202, 205 - 208 Late Dec 16 - Jan 1 Dec 16 - Jan 1"
"202, 205",2026-12-16,2027-01-01,,"202, 205 - 208 Late Dec 16 - Jan 1 Dec 16 - Jan 1"
203,2026-08-10,2026-09-09,,203 Early Aug 10 - Sept 9 Aug 10 - Sept 9
203,2026-08-10,2026-09-09,,203 Early Aug 10 - Sept 9 Aug 10 - Sept 9
203,2026-12-16,2027-01-01,,203 Late Dec 16 - Jan 1 Dec 16 - Jan 1
203,2026-12-16,2027-01-01,,203 Late Dec 16 - Jan 1 Dec 16 - Jan 1
211,2026-08-10,2026-09-09,,211 - 213 Aug 10 - Sept 9 Aug 10 - Sept 9
211,2026-08-10,2026-09-09,,211 - 213 Aug 10 - Sept 9 Aug 10 - Sept 9
221,2026-08-10,2026-09-09,,221 - 223 Aug 10 - Sept 9 Aug 10 - Sept 9
221,2026-08-10,2026-09-09,,221 - 223 Aug 10 - Sept 9 Aug 10 - Sept 9
231,2026-08-10,2026-09-09,,231 Aug 10 - Sept 9 Aug 10 - Sept 9
231,2026-08-10,2026-09-09,,231 Aug 10 - Sept 9 Aug 10 - Sept 9
241,2026-08-10,2026-09-09,,241 - 245 Aug 10 - Sept 9 Aug 10 - Sept 9
241,2026-08-10,2026-09-09,,241 - 245 Aug 10 - Sept 9 Aug 10 - Sept 9
251,2026-08-10,2026-09-09,,251 - 254 Aug 10 - Sept 9 Aug 10 - Sept 9
251,2026-08-10,2026-09-09,,251 - 254 Aug 10 - Sept 9 Aug 10 - Sept 9
261,2026-08-10,2026-09-09,,261 - 268 Aug 10 - Sept 9 Aug 10 - Sept 9
261,2026-08-10,2026-09-09,,261 - 268 Aug 10 - Sept 9 Aug 10 - Sept 9
"271, 272",2026-08-10,2026-09-09,,"271, 272 Aug 10 - Sept 9 Aug 10 - Sept 9"
"271, 272",2026-08-10,2026-09-09,,"271, 272 Aug 10 - Sept 9 Aug 10 - Sept 9"
291,2026-08-10,2026-09-09,,291 Aug 10 - Sept 9 Aug 10 - Sept 9
291,2026-08-10,2026-09-09,,291 Aug 10 - Sept 9 Aug 10 - Sept 9
